project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
reactstrap-widgets;src/UncontrolledButtonDropdown.js;2;18.182;11;80.833;0.192;16.56;9525.048;575.184;43
reactstrap-widgets;src/UncontrolledDropdown.js;3;21.429;14;77.145;0.243;19.339;14072.253;727.651;47
reactstrap-widgets;src/__tests__/ButtonDropdown.spec.js;1;5.556;18;76.223;0.326;12.5;12220.881;977.67;46
reactstrap-widgets;src/__tests__/Dropdown.spec.js;5;0.865;578;62.505;13.437;93.638;3774552.124;40310.184;221
reactstrap-widgets;src/__tests__/DropdownItem.spec.js;1;0.971;103;75.834;1.654;26.714;132525.39;4960.843;88
reactstrap-widgets;src/__tests__/DropdownMenu.spec.js;1;0.82;122;68.689;1.4;25.548;107330.775;4201.151;83
reactstrap-widgets;src/__tests__/DropdownToggle.spec.js;1;0.746;134;71.71;1.611;29.773;143881.155;4832.551;86
reactstrap-widgets;src/__tests__/InputGroupButtonDropdown.spec.js;1;25;4;87.742;0.066;5.5;1084.344;197.153;24
wijmo;wijmo/jquery.wijmo.wijdropdown.js;98;22.844;429;62.403;7.994;74.057;1775958.122;23981.112;311
wijmo;wijmo/minified/jquery.wijmo.wijdropdown.min.js;98;23.902;410;62.795;7.828;83;1949296.387;23485.499;280
kendo-ui;src/kendo.dropdownlist.js;238;27.045;880;60.863;15.824;103.772;4926130.864;47470.638;524
lobos-react-ui;src/Dropdown.js;10;25;40;70.967;0.758;29.676;67525.819;2275.46;98
jquense-react-widgets;packages/react-widgets/src/DropdownList.js;83;25.776;322;63.867;5.687;72.795;1241885.624;17059.953;320
jquense-react-widgets;packages/react-widgets/src/DropdownListInput.js;11;28.205;39;62.28;0.491;32.118;47299.493;1472.695;77
