project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
lucid;src/components/Dialog/examples/1.small.jsx;1;14.286;7;97.803;0.175;10.846;5691.983;524.793;38
lucid;src/components/Dialog/examples/2.medium.jsx;1;14.286;7;97.803;0.175;10.846;5691.983;524.793;38
lucid;src/components/Dialog/examples/3.large-with-rich-header.jsx;1;14.286;7;97.803;0.172;11.04;5693.724;515.736;37
lucid;src/components/Dialog/examples/4.complex.jsx;3;12;25;48.893;0.492;18.827;27787.959;1476;64
lucid;src/components/Dialog/examples/5.no-modal.jsx;1;16.667;6;65.414;0.173;12.833;6673.333;520;32
lucid;src/components/Dialog/examples/6.no-footer.jsx;1;20;5;67.514;0.143;12.941;5536.942;427.855;28
lucid;src/components/Dialog/examples/7.no-gutters.jsx;1;20;5;67.443;0.144;13.265;5739.133;432.662;28
lucid;src/components/Dialog/examples/8.no-close-button.jsx;1;14.286;7;97.803;0.152;9.692;4425.214;456.57;38
ring-ui;components/auth-dialog/auth-dialog.examples.js;3;10.714;28;85.041;0.36;12.833;13856.623;1079.737;72
ring-ui;components/auth-dialog/auth-dialog.js;6;15.385;39;71.573;0.503;25.391;38312.271;1508.897;74
ring-ui;components/auth-dialog/auth-dialog.test.js;1;6.667;15;82.602;0.179;7.926;4266.039;538.202;45
ring-ui;components/auth-dialog-service/auth-dialog-service.examples.js;2;7.407;27;77.948;0.335;13.5;13559.823;1004.431;68
ring-ui;components/auth-dialog-service/auth-dialog-service.js;1;11.111;9;85.251;0.083;10.938;2737.125;250.251;30
ring-ui;components/auth-dialog-service/auth-dialog-service.test.js;1;1.818;55;75.11;0.704;13.106;27677.372;2111.799;76
ring-ui;components/dialog/dialog.examples.js;1;1.852;54;82.852;0.779;19.154;44775.212;2337.662;96
ring-ui;components/dialog/dialog.js;9;14.754;61;76.711;1.052;30.68;96796.751;3155.002;121
ring-ui;components/dialog/dialog.test.js;1;2.128;47;70.73;0.553;13.316;22075.921;1657.809;58
ring-ui;components/dialog/dialog__body-scroll-preventer.js;6;33.333;18;53.725;0.197;19;11223.946;590.734;40
ring-ui;components/dialog-ng/dialog-ng.examples.js;1;1.22;82;76.711;1.018;19.429;59332.614;3053.885;107
ring-ui;components/dialog-ng/dialog-ng.test.js;1;0.212;472;69.478;7.206;41.375;894427.805;21617.818;304
ring-ui;components/login-dialog/login-dialog.js;7;10.769;65;69.063;0.725;22.5;48929;2174.622;95
